country,country_code,id,n,lat,lon,pop_2020,per_mil,2019_Economic_Freedom_Index,GDP_Billions_PPP,GDP_per_Capita_PPP,Continent,per_mil_class,per_mil_rounded
Afghanistan,,004,0,33,65,39074280,0,51.5,69.6 ,1958,AS,0,0
Åland Islands,,248,0,41,20,29884,0,,1.563,55829,EU,0,0
Albania,,008,6,28,3,2877239,2.08533,66.5,36.0 ,12507,EU,1 - 5,2.085
Algeria,,012,2,-14.3333,-170,43984569,0.04547,46.2,632.9 ,15237,AF,0 - 0.1,0.045
American Samoa,,016,0,42.5,1.6,55169,0,,0.658,11200,OC,0,0
Andorra,,020,0,-12.5,18.5,77287,0,,3.237,42035,EU,0,0
Angola,,024,0,18.25,-63.1667,33032075,0,50.6,190.3 ,6753,AF,0,0
Anguilla,,660,0,-90,0,15026,0,,0.311,29493,NA,0,0
Antarctica,,010,0,17.05,-61.8,1,0,,N/A,N/A,AN,0,0
Antigua and Barbuda,,028,0,-34,-64,98069,0,,1.717,18416,NA,0,0
Argentina,,032,23,40,45,45267449,0.50809,52.2,920.2 ,20876,SA,0.1 - 1,0.508
Armenia,,051,11,12.5,-69.9667,2964219,3.71093,67.7,28.3 ,9456,AS,1 - 5,3.711
Aruba,,533,0,-27,133,106845,0,,5.48,40160,NA,0,0
Australia,AUS,036,106,-25,134,25550683,4.14862,80.9,1246.5 ,50334,OC,1 - 5,4.149
Austria,,040,106,14.55,47.5,9015361,11.75771,72,439.6 ,49869,EU,>10,11.758
Azerbaijan,,031,9,24.25,-76,10154978,0.88626,65.4,171.8 ,17492,AS,0.1 - 1,0.886
Bahamas,,044,0,26,50.55,393893,0,62.9,11.6 ,31139,NA,0,0
Bahrain,,048,0,,,1711057,0,66.4,70.4 ,48505,AS,0,0
Bangladesh,,050,3,24,90,164972348,0.01818,55.6,687.1 ,4211,AS,0 - 0.1,0.018
Barbados,,052,0,13.1667,-59.5333,287437,0,64.7,5.2 ,18664,NA,0,0
Belarus,,112,3,53,28,9448772,0.3175,57.9,178.9 ,18931,EU,0.1 - 1,0.318
Belgium,,056,47,50.8333,4,11598451,4.05227,67.3,528.5 ,46553,EU,1 - 5,4.052
Belize,,084,0,17.25,-88.75,398845,0,55.4,3.2 ,8324,NA,0,0
Benin,,204,0,9.5,2.25,12175480,0,55.3,25.3 ,2277,AF,0,0
Bermuda,,060,0,32.3333,-64.75,62237,0,,6.269,102192,NA,0,0
Bhutan,,064,0,27.5,90.5,773069,0,62.9,7.0 ,8744,AS,0,0
Bolivia,,068,0,-17,-65,11700207,0,42.3,83.6 ,7547,SA,0,0
Bosnia and Herzegovina,,070,0,44,18,3277152,0,61.9,44.6 ,12724,EU,0,0
Botswana,,072,0,-22,24,2359585,0,69.5,38.9 ,17828,AF,0,0
Bouvet Island,,074,0,-54.4333,3.4,1,0,,N/A,N/A,AN,0,0
Brazil,,076,38,-10,-55,212821986,0.17855,51.9,3240.3 ,15603,SA,0.1 - 1,0.179
British Indian Ocean Territory,,086,0,-6,71.5,30266,0,,N/A,N/A,AS,0,0
Brunei Darussalam,,096,0,4.5,114.6667,438202,0,65.1,33.5 ,78196,AS,0,0
Bulgaria,,100,11,43,25,6939018,1.58524,69,153.1 ,21687,EU,1 - 5,1.585
Burkina Faso,,854,1,13,-2,20997293,0.04763,59.4,35.8 ,1889,AF,0 - 0.1,0.048
Burundi,,108,0,-3.5,30,11948454,0,48.9,8.0 ,735,AF,0,0
Cambodia,,116,0,13,105,16758448,0,57.8,64.3 ,4012,AS,0,0
Cameroon,,120,1,6,12,26655083,0.03752,52.4,88.9 ,3660,AF,0 - 0.1,0.038
Canada,,124,141,60,-95,37799407,3.73022,77.7,1769.3 ,48265,NA,1 - 5,3.73
Cape Verde,,132,0,16,-24,557026,0,63.1,3.7 ,6944,AF,0,0
Cayman Islands,,136,0,19.5,-80.5,65854,0,,2.507,73800,NA,0,0
Central African Republic,,140,0,7,21,4843954,0,49.1,3.4 ,677,AF,0,0
Chad,,148,0,15,19,16502877,0,49.9,28.6 ,2344,AF,0,0
Chile,,152,4,-30,-71,19144605,0.20894,75.4,451.1 ,24537,SA,0.1 - 1,0.209
China,,156,53,35,105,1440297825,0.0368,58.4,23159.1 ,16660,AS,0 - 0.1,0.037
Christmas Island,,162,0,-10.5,105.6667,1,0,,N/A,N/A,AS,0,0
Cocos (Keeling) Islands,,166,0,-12.5,96.8333,1,0,,N/A,N/A,AS,0,0
Colombia,,170,9,4,-72,50976248,0.17655,67.3,714.0 ,14485,SA,0.1 - 1,0.177
Comoros,,174,0,-12.1667,44.25,872695,0,55.4,1.3 ,1588,AF,0,0
Congo (Brazzaville),,180,1,-1,15,5540555,0.18049,39.7,28.9 ,6642,AF,0.1 - 1,0.18
Congo (Kinshasa),,178,0,0,25,90003954,0,50.3,68.5 ,790,AF,0,0
Cook Islands,,184,0,-21.2333,-159.7667,17567,0,,N/A,N/A,OC,0,0
Costa Rica,,188,0,10,-84,5102158,0,65.3,83.9 ,16877,NA,0,0
Côte d'Ivoire,,384,0,8,-5,26486282,0,62.4,96.9 ,3883,AF,0,0
Croatia,,191,16,45.1667,15.5,4100719,3.90175,61.4,101.3 ,24424,EU,1 - 5,3.902
Cuba,,192,5,21.5,-80,11325391,0.44149,27.8,148.0 ,12920,NA,0.1 - 1,0.441
Cyprus,,196,0,35,33,1208886,0,68.1,31.6 ,37023,EU,0,0
Czech Republic,,203,29,49.75,15.5,10712481,2.70712,73.7,375.7 ,35512,EU,1 - 5,2.707
Denmark,,208,49,56,10,5795780,8.45443,76.7,286.8 ,49883,EU,5-10,8.454
Djibouti,,262,0,11.5,43,990447,0,47.1,3.6 ,3559,AF,0,0
Dominica,,212,0,15.4167,-61.3333,72017,0,63.6,0.8 ,11102,NA,0,0
Dominican Republic,,214,0,19,-70.6667,10866667,0,61,172.4 ,16944,NA,0,0
Ecuador,,218,2,-2,-77.5,17688599,0.11307,46.9,192.6 ,11482,SA,0.1 - 1,0.113
Egypt,,818,4,27,30,102659126,0.03896,52.5,1201.2 ,12671,AF,0 - 0.1,0.039
El Salvador,,222,0,13.8333,-88.9167,6491923,0,61.8,57.0 ,8948,NA,0,0
Equatorial Guinea,,226,0,2,10,1410419,0,41,30.4 ,36017,AF,0,0
