decade,profession,n,tag
Jan 1 1510,Math Professor,3,1510s
Jan 1 1520,Math Professor,3,1520s
Jan 1 1530,Math Professor,6,1530s
Jan 1 1540,Math Professor,5,1540s
Jan 1 1550,Math Professor,4,1550s
Jan 1 1560,Math Professor,4,1560s
Jan 1 1570,Math Professor,4,1570s
Jan 1 1580,Math Professor,9,1580s
Jan 1 1590,Math Professor,3,1590s
Jan 1 1600,Math Professor,3,1600s
Jan 1 1610,Math Professor,5,1610s
Jan 1 1620,Math Professor,4,1620s
Jan 1 1630,Math Professor,5,1630s
Jan 1 1640,Math Professor,5,1640s
Jan 1 1650,Math Professor,5,1650s
Jan 1 1660,Math Professor,3,1660s
Jan 1 1670,Math Professor,3,1670s
Jan 1 1680,Math Professor,6,1680s
Jan 1 1690,Math Professor,5,1690s
Jan 1 1700,Math Professor,7,1700s
Jan 1 1710,Math Professor,11,1710s
Jan 1 1720,Math Professor,2,1720s
Jan 1 1730,Math Professor,8,1730s
Jan 1 1740,Math Professor,6,1740s
Jan 1 1750,Math Professor,12,1750s
Jan 1 1760,Math Professor,12,1760s
Jan 1 1770,Math Professor,14,1770s
Jan 1 1780,Math Professor,12,1780s
Jan 1 1790,Math Professor,20,1790s
Jan 1 1800,Math Professor,29,1800s
Jan 1 1810,Math Professor,20,1810s
Jan 1 1820,Math Professor,24,1820s
Jan 1 1830,Math Professor,46,1830s
Jan 1 1840,Math Professor,57,1840s
Jan 1 1850,Math Professor,63,1850s
Jan 1 1860,Math Professor,65,1860s
Jan 1 1870,Math Professor,80,1870s
Jan 1 1880,Math Professor,125,1880s
Jan 1 1890,Math Professor,104,1890s
Jan 1 1900,Math Professor,173,1900s
Jan 1 1910,Math Professor,185,1910s
Jan 1 1920,Math Professor,286,1920s
Jan 1 1930,Math Professor,287,1930s
Jan 1 1940,Math Professor,343,1940s
Jan 1 1950,Math Professor,229,1950s
Jan 1 1960,Math Professor,112,1960s
Jan 1 1970,Math Professor,69,1970s
Jan 1 1510,Physicist,1,1510s
Jan 1 1520,Physicist,0,1520s
Jan 1 1530,Physicist,1,1530s
Jan 1 1540,Physicist,0,1540s
Jan 1 1550,Physicist,1,1550s
Jan 1 1560,Physicist,3,1560s
Jan 1 1570,Physicist,2,1570s
Jan 1 1580,Physicist,5,1580s
Jan 1 1590,Physicist,3,1590s
Jan 1 1600,Physicist,6,1600s
Jan 1 1610,Physicist,3,1610s
Jan 1 1620,Physicist,3,1620s
Jan 1 1630,Physicist,2,1630s
Jan 1 1640,Physicist,3,1640s
Jan 1 1650,Physicist,6,1650s
Jan 1 1660,Physicist,2,1660s
Jan 1 1670,Physicist,3,1670s
Jan 1 1680,Physicist,4,1680s
Jan 1 1690,Physicist,5,1690s
Jan 1 1700,Physicist,9,1700s
Jan 1 1710,Physicist,7,1710s
Jan 1 1720,Physicist,2,1720s
Jan 1 1730,Physicist,6,1730s
Jan 1 1740,Physicist,8,1740s
Jan 1 1750,Physicist,6,1750s
Jan 1 1760,Physicist,5,1760s
Jan 1 1770,Physicist,11,1770s
Jan 1 1780,Physicist,7,1780s
Jan 1 1790,Physicist,10,1790s
Jan 1 1800,Physicist,15,1800s
Jan 1 1810,Physicist,5,1810s
Jan 1 1820,Physicist,12,1820s
Jan 1 1830,Physicist,10,1830s
Jan 1 1840,Physicist,14,1840s
Jan 1 1850,Physicist,22,1850s
Jan 1 1860,Physicist,15,1860s
Jan 1 1870,Physicist,16,1870s
Jan 1 1880,Physicist,25,1880s
Jan 1 1890,Physicist,20,1890s
Jan 1 1900,Physicist,31,1900s
Jan 1 1910,Physicist,32,1910s
Jan 1 1920,Physicist,41,1920s
Jan 1 1930,Physicist,55,1930s
Jan 1 1940,Physicist,40,1940s
Jan 1 1950,Physicist,29,1950s
Jan 1 1960,Physicist,11,1960s
Jan 1 1970,Physicist,9,1970s
Jan 1 1510,Computer Scientist,0,1510s
Jan 1 1520,Computer Scientist,0,1520s
