name,rank,links,year_of_birth,year_of_birth_binned,name_rank
Isaac Newton,1,18,1643,1500-1749,"Name: Isaac Newton, Rank: 1, Year of Birth: 1643"
David Hilbert,2,24,1862,1850-1940,"Name: David Hilbert, Rank: 2, Year of Birth: 1862"
Euclid,3,16,-300,<500,"Name: Euclid, Rank: 3, Year of Birth: -300"
John von Neumann,4,17,1903,1850-1940,"Name: John von Neumann, Rank: 4, Year of Birth: 1903"
Felix Klein,5,11,1849,1750-1849,"Name: Felix Klein, Rank: 5, Year of Birth: 1849"
Aristotle,6,14,-384,<500,"Name: Aristotle, Rank: 6, Year of Birth: -384"
Leonhard Euler,7,11,1707,1500-1749,"Name: Leonhard Euler, Rank: 7, Year of Birth: 1707"
Carl Friedrich Gauss,8,11,1777,1750-1849,"Name: Carl Friedrich Gauss, Rank: 8, Year of Birth: 1777"
Gottfried Wilhelm Leibniz,9,18,1646,1500-1749,"Name: Gottfried Wilhelm Leibniz, Rank: 9, Year of Birth: 1646"
Emmy Noether,10,16,1882,1850-1940,"Name: Emmy Noether, Rank: 10, Year of Birth: 1882"
Ptolemy,11,6,100,<500,"Name: Ptolemy, Rank: 11, Year of Birth: 100"
Bertrand Russell,12,16,1872,1850-1940,"Name: Bertrand Russell, Rank: 12, Year of Birth: 1872"
Archimedes,13,11,-287,<500,"Name: Archimedes, Rank: 13, Year of Birth: -287"
Galileo Galilei,14,10,1564,1500-1749,"Name: Galileo Galilei, Rank: 14, Year of Birth: 1564"
Hermann Weyl,15,18,1885,1850-1940,"Name: Hermann Weyl, Rank: 15, Year of Birth: 1885"
Alexander Grothendieck,16,11,1928,1850-1940,"Name: Alexander Grothendieck, Rank: 16, Year of Birth: 1928"
Johannes Kepler,17,9,1571,1500-1749,"Name: Johannes Kepler, Rank: 17, Year of Birth: 1571"
Nicolas Bourbaki,18,10,1934,1850-1940,"Name: Nicolas Bourbaki, Rank: 18, Year of Birth: 1934"
Georg Cantor,19,19,1845,1750-1849,"Name: Georg Cantor, Rank: 19, Year of Birth: 1845"
Michael Atiyah,20,8,1929,1850-1940,"Name: Michael Atiyah, Rank: 20, Year of Birth: 1929"
Alfred Tarski,21,8,1901,1850-1940,"Name: Alfred Tarski, Rank: 21, Year of Birth: 1901"
Ivor Grattan-Guinness,22,20,1941,>1940,"Name: Ivor Grattan-Guinness, Rank: 22, Year of Birth: 1941"
Gaetano Fichera,23,2,1922,1850-1940,"Name: Gaetano Fichera, Rank: 23, Year of Birth: 1922"
Christiaan Huygens,24,11,1629,1500-1749,"Name: Christiaan Huygens, Rank: 24, Year of Birth: 1629"
Alan Turing,25,6,1912,1850-1940,"Name: Alan Turing, Rank: 25, Year of Birth: 1912"
Norbert Wiener,26,15,1894,1850-1940,"Name: Norbert Wiener, Rank: 26, Year of Birth: 1894"
G. H. Hardy,27,9,1877,1850-1940,"Name: G. H. Hardy, Rank: 27, Year of Birth: 1877"
Charles Sanders Peirce,28,18,1839,1750-1849,"Name: Charles Sanders Peirce, Rank: 28, Year of Birth: 1839"
Nicolaus Copernicus,29,8,1473,500-1499,"Name: Nicolaus Copernicus, Rank: 29, Year of Birth: 1473"
Vladimir Arnold,30,6,1937,1850-1940,"Name: Vladimir Arnold, Rank: 30, Year of Birth: 1937"
Andrey Kolmogorov,31,6,1903,1850-1940,"Name: Andrey Kolmogorov, Rank: 31, Year of Birth: 1903"
Saunders Mac Lane,32,8,1909,1850-1940,"Name: Saunders Mac Lane, Rank: 32, Year of Birth: 1909"
Karl Weierstrass,33,5,1815,1750-1849,"Name: Karl Weierstrass, Rank: 33, Year of Birth: 1815"
Apollonius of Perga,34,8,-240,<500,"Name: Apollonius of Perga, Rank: 34, Year of Birth: -240"
Richard Courant,35,7,1888,1850-1940,"Name: Richard Courant, Rank: 35, Year of Birth: 1888"
Martin Gardner,36,5,1914,1850-1940,"Name: Martin Gardner, Rank: 36, Year of Birth: 1914"
Ronald Fisher,37,2,1890,1850-1940,"Name: Ronald Fisher, Rank: 37, Year of Birth: 1890"
George Boole,38,10,1815,1750-1849,"Name: George Boole, Rank: 38, Year of Birth: 1815"
Emil Artin,39,9,1898,1850-1940,"Name: Emil Artin, Rank: 39, Year of Birth: 1898"
Srinivasa Ramanujan,40,7,1887,1850-1940,"Name: Srinivasa Ramanujan, Rank: 40, Year of Birth: 1887"
Bernhard Riemann,41,13,1826,1750-1849,"Name: Bernhard Riemann, Rank: 41, Year of Birth: 1826"
Karl Pearson,42,4,1857,1850-1940,"Name: Karl Pearson, Rank: 42, Year of Birth: 1857"
Pierre-Simon Laplace,43,8,1749,1500-1749,"Name: Pierre-Simon Laplace, Rank: 43, Year of Birth: 1749"
William Rowan Hamilton,44,11,1805,1750-1849,"Name: William Rowan Hamilton, Rank: 44, Year of Birth: 1805"
Peter Gustav Lejeune Dirichlet,45,8,1805,1750-1849,"Name: Peter Gustav Lejeune Dirichlet, Rank: 45, Year of Birth: 1805"
Edmund Landau,46,7,1877,1850-1940,"Name: Edmund Landau, Rank: 46, Year of Birth: 1877"
Gottlob Frege,47,10,1848,1750-1849,"Name: Gottlob Frege, Rank: 47, Year of Birth: 1848"
Alfred North Whitehead,48,11,1861,1850-1940,"Name: Alfred North Whitehead, Rank: 48, Year of Birth: 1861"
